title,first_tone_annotation,first_framing_annotation
"Debate on immigration to open; Employment would assure workers can stay, but not citizenship",,5.2
Local Officials Seek Help From U.S. on Immigration,,13.2
Hotline to help day laborers turn in contractors who cheat; SANTA CRUZ POLICE SAY ILLEGAL IMMIGRANTS DESERVE PROTECTION,17.4,7.2
Bridging a Racial Rift That Isn't Black and White,19.35,11.2
Immigrant issue stirs Greeley ALLARD'S ADDITION The costs and need for an immigration enforcement office in Colorado Springs and Greeley will be studied.,19.4,12.2
"Immigration in Herndon; Proposals smack of desperation to ""do something.""",18.3,6.2
BACKLOG GROWS ON ALIEN FILES,,2.2
House approves bill to abolish INS; The Senate will begin work next week on its own measure dealing with the immigration agency,18.3,13.2
House Panel Agrees On Plan to Split INS,18.3,13.2
Farewell to the I.N.S.,19.35,6.2
"Bush carrying immigration, aid plans to Latin America",17.35,14.2
...And the Fairness Act,17.4,6.2
"OFFICIALS RIP INS OFFICE OVER DELAYS MOVING: LARGER FACILITY, STAFF TO SPEED PROCESSING.",17.35,2.2
COLOMBIA IN PROCESS OF FILING FOR EXTRADITION IN MURDER ARREST,,7.2
"NEW CHARGES, DEFENDANTS THE SCOPE OF ALLEGED 14-YEAR U.S.-INDIA IMMIGRATION FRAUD SCHEME EXPANDS",19.35,7.2
Whitman Plans $2 Million to Help Immigrants Become Citizens,17.35,10.2
"'90S ARE ERA OF HOPE, CLINTON TELLS SALVADOR",17.35,14.2
Smuggling Death Toll May Drop,17.35,9.2
IMMIGRATION ORDEAL GETTING REV POLITICIZED,17.35,3.2
Court's delay sank measure,19.4,5.2
Food Stamp Cutoff a Matter of Geography for Area Immigrants,,6.2
ALIENS' PHONY DEADLINE INS RULES EVEN CONFUSE ITSELF,18.3,5.2
92 Captive Aliens Are Rescued in a Raid,17.35,7.2
Officials ducking immigration issue The Denver chamber wants to stay focused on ways of creating jobs and prosperity statewide.,17.35,1.2
Immigrants on the Run,17.35,10.2
Iranian Cyclist Detained at Border Wins Political Asylum,17.35,5.2
IOWA CRASH KILLS 9 PEOPLE IN PICKUP; TRUCK HIT TRACTOR-TRAILER; AUTHORITIES SUSPECT IMMIGRANT SMUGGLING,17.35,9.2
"Court Blocks Dallas Woman's Deportation, Citing Threat of Mutilation",17.35,5.2
WAR DIGEST,19.35,8.2
Work Under Way On 'Virtual Fence',19.35,8.2
Guest help ``welcome'' Bush touts immigrant-worker plan as Senate panel moves forward,,13.2
GOP EASES STANCE ON LEGAL-MIGRANT AID,17.35,6.2
Immigration Issues End a Grower's Season,17.35,1.2
GRASS ROOTS; Scavenging in America for the Folks Back Home,17.35,1.2
INS EXTENDS LENGTH OF SOME WORK PERMITS,17.35,2.2
"BUSH LOOKS TO DIVIDE INS WOOING LATINOS, HE SAYS AGENCY'S 'MIXED SIGNALS' ARE A PROBLEM",17.35,13.2
"Bill aims to keep foreign talent ; Immigrant graduates start businesses that add many jobs, studies show.",17.35,1.2
"Giving Voice to Immigrants, Past and Present",,11.2
"Abroad at Home; It's Gender, Stupid",,
"COMPANY NEWS; DISNEYLAND FINED $395,000 FOR IMMIGRATION VIOLATIONS",19.35,7.2
U.S. threatens to fine Disney,19.35,7.2
Open: Jobs for Specialists; Wanted: Foreign Workers; Labor Dept. Proposes 'Green Card' Shortcut,19.35,1.2
"Fallout continues in and out of White House // Wood, Baird cases different, most say",,12.2
What Immigration Crisis?,17.35,11.2
THE BIG HURT FED PLAZA BUSINESS IN A PINCH,,
THE IMMIGRATION BONUS,,1.2
SPEAKER: SOVIET JEWS' TIMES TOUGHEN,,
Arizona and Interposition,17.35,5.2
"NEXT TIME, BRING YOUR FASTBALL",17.35,10.2
Nominee Criticized Over Post-9/11 Policies,19.35,13.2
INDICT BOSS IN SCAFFOLD FALL DEATHS,17.35,7.2
"REFUGEES RENEW CHURCH KAREN IMMIGRANTS FROM MYANMAR, THE FORMER BURMA, ARE GETTING HELP FROM; AND GIVING BACK TO -- DOWNTOWN BAPTISTS.",18.3,3.2
Our Founding Illegals,17.4,11.2
"LEGISLATURE 2006: Illegals contribute, study says; Policy group puts taxes paid at $252 million",17.35,1.2
Name That Decade (and Try to Smile),17.4,12.2
Ohio: No Immigration Charges,,
"Transgendered Couple Indicted in Fraud; Va. Pair Battling INS Over a Visa, Their Marriage",,7.2
IN BRIEF,19.35,7.2
AMERICA: a land of diversity,17.35,11.2
The Gateway City,17.35,11.2
FOREIGN WORKERS AT HIGHEST LEVEL IN SEVEN DECADES,17.4,1.2
INSIDE,,
About New York; A Latin Takes Manhattan,17.35,11.2
Dueling protesters face off in D.C. over immigration Group calling for tougher border security finishes a cross-country caravan.,18.3,12.2
CRITERIA SHOULD FOCUS ON IMMIGRANTS' SKILLS,18.3,6.2
WAR IN THE GULF: HOMELAND: Slain soldiers earn U.S. status,17.35,3.2
Immigration reform: Benefits vs. liabilities,19.4,1.2
BILL WOULD EASE FOREIGN FARM WORKER RULES,17.35,6.2
Most See Visa Program as Severely Flawed,18.3,5.2
Don't Imperil Asylum,18.3,5.2
U.S. Immigrant Labor Plan Leaves Mexicans With Doubts,17.35,14.2
IMMIGRATION AMNESTY: Bush's proposal gets support; It's seen as fix for many issues,17.35,6.2
Cruising With a Green Card,,
"American Dreams, For Immigrants, Too",17.4,11.2
Gender Bias in Immigration Law,17.35,5.2
IMMIGRATION BILL REVIVED BY SENATE,18.3,13.2
TOP NEWS,,
INS Seeks to Fine Eastern Shore Business,19.35,7.2
JAPAN PLANS TO DENY VISAS TO ALIENS WITH AIDS VIRUS,,
THE NATION; A Grace Period For Illegal Aliens,17.35,5.2
Legislature 2007: Two bills to curb driving by illegal immigrants clear committee,19.35,5.2
MAKING THE GRADE,,6.2
Immigrants are becoming citizens faster than past decades,17.35,11.2
Editorial | Immigration Fees; Paying more for a dream,19.35,1.2
Immigrant education funds urged; Being FAIR? Advocate group says state government should embrace new; Americans.,,1.2
Immigration movement: 'Dreamers' organize CLOUD group to help others avoid deportation,17.35,10.2
Eyes on illegal immigrants; Cobb looks to deport lawbreakers,19.4,7.2
Cabinet Nominee Kerik Pulls Out; Bush's DHS Pick Cites Nanny Issue,18.3,13.2
,,
Guards Charged in Smuggling,19.35,7.2
Immigrants aren't destroying America,17.35,10.2
TACO BELL'S 'BORDER LIGHTS' CAMPAIGN HITS A BRICK WALL,17.35,12.2
"COMFORTABLE NICHE; COMING TO REGION, COUPLE FOLLOWED GROUP OF EARLIER IMMIGRANTS",17.35,11.2
Study Finds That Immigrants Are Central to Long Island Economy,17.35,1.2
community news roundup,,
"77 Aliens, in Debt to Smugglers, Found in Captivity in California",19.35,7.2
Critics See 'Chilling Effect' in Alabama Immigration Law,19.35,5.2
Thinking Right; Immigration: what's the story here?,17.35,15.2
Arrest made in dragging death Suspect may be illegal immigrant,19.35,7.2
Agents arrest 115 immigrants,19.35,7.2
Boeing waits for word on fence Government is deciding whether to accept first phase of border device.,19.35,8.2
OK would cut back on services,,2.2
MORE COUPLES MARRYING TO TRY TO AVOID DEPORTATION,19.35,2.2
An Imperfect Union; Europe's Experiment Faces New Obstacles,,
MAN HELD AFTER SEPT. 11 DEPORTED TO PAKISTAN,19.35,7.2
A STEEL VALLEY'S DEATH: MEMORIES AND DESPAIR,17.35,11.2
community news roundup,19.35,7.2
JUDGE: SUGAR FIRMS MUST DISCLOSE OUTPUT EXPECTATIONS FOR HARVESTERS,17.35,5.2
Pressure on immigrants could erupt in anger,17.4,6.2
ELSEWHERE,,
Officials Preparing For Athlete Defections; INS Increases Staff in Its Atlanta Office,,5.2
IMMIGRATION BILL BATTLE ENDS,,13.2
HAILING DANGER: A special report.; Behind the Wheel: Long Hours and Hard Feelings,17.35,10.2
"Cisneros stumps for Clinton Latino choice clear, HUD secretary says",18.3,13.2
Immigration politics,17.35,13.2
PROSECUTORS DROP CASE AGAINST SERB,19.35,7.2
DETENTION CENTER REMAINS CLOSED AFTER PLOT UNCOVERED,19.35,7.2
Shadows of doubt,17.35,7.2
SOMALI LANDS BACK IN U.S. PUNTLAND OFFICIALS TURN JAMA AWAY; HE ENDS UP IN JAIL IN ST. PAUL,19.35,7.2
"For Immigrants, Help Can Be Risky; Maryland Lawmakers Move to Rein In Consultants Who Overreach and Sometimes Get Clients Deported",17.35,10.2
PROPOSED BILL TARGETS IMMIGRANT SMUGGLING,19.35,7.2
Channel Tunnel's Risks Defied For a Dream of Life in Britain,,
"THE CLINTON BUDGET: DOMESTIC PROPOSALS; Increases Urged for Child Care, Medicare and Medical Research",17.35,6.2
Few Immigrants in Laurel Attend Outreach Meeting; Police Sought to Calm Fears After Slaying,17.35,11.2
"DOWNTURN HITS HOLDERS OF H-1B VISAS IMMIGRANTS WORRY AS TECH MARKET SAGS THEY WERE HOT COMMODITIES JUST A FEW MONTHS AGO, BUT AFTER LEAVING THEIR COUNTRIES, MANY SKILLED HIGH-TECH WORKERS ARE NOW 'ON THE BENCH,' WAITING FOR JOBS.",17.35,2.2
Mexico and U.S. to Patrol Border Trouble Spots,,8.2
FOREIGN WORKER VISAS REVIVED BILL TO CLOSE LOOPHOLE ON LAWSUITS ALSO ALIVE,17.35,13.2
More Africans Enter U.S. Than in Days of Slavery,18.3,11.2
METRO NEWS BRIEFS: NEW JERSEY; 4 Accused of Smuggling Immigrants From India,19.35,7.2
Congress flooding INS with queries,18.3,5.2
Immigration law cases doubled from '96 to '01,19.35,5.2
Ex-Baird worker en route to Peru,,
2 Candidates for Governor to Pay Back Taxes for Aliens,19.35,1.2
NATION IN BRIEF Baird's former nanny to leave U.S.,19.35,13.2
Immigration bill foes protest; Activists rally outside Chambliss' office,19.4,12.2
LOCAL IMMIGRANTS HAPPY WITH RESULTS,,
Reno Challenges 1996 Law As Harsh on Immigrants; Congress Asked to Rewrite Key Provision,17.35,5.2
GETTING BACK IN PRACTICE; A state grant aims to help medical professionals from other countries progress down the long road toward resuming careers in the U.S.,17.35,9.2
N. Korea detains a second U.S. citizen,,
Voorhis denies he was aiding candidate,19.35,5.2
SENATE TARGETS ILLEGALS TOUGH BILL PASSED,19.35,6.2
Q&A on the News,19.35,5.2
"More laws are enacted to help, not restrict, illegal immigrants; Analysis of 50 states' actions reveals a more accommodating attitude",17.35,10.2
Editorial: Court ruling puts college out of reach for immigrant students,17.4,5.2
Chas Beat,19.35,6.2
Porous Deportation System Gives Criminals Little to Fear,19.35,7.2
Supporters of fragile bill fear amendments,18.3,13.2
Special overseas delivery; U.S. to simplify rules on foreign adoptions,17.35,5.2
NEW YORK MINUTE. JURY FINDS IMMIGRANT GUILTY IN FATAL STABBING OF FIANCeE,19.35,7.2
Colorado's efforts at immigration control,18.3,5.2
An Emotional Issue for the Top General,17.35,8.2
'Pit Bull' of the House Latches On to Immigration,19.35,13.2
INS adjusts to role in terrorism fight,18.3,8.2
FOREIGN STUDENTS BACK VISA SECURITY SOME COLLEGE OFFICIALS FEAR PLANS MAY DETER APPLICANTS,,8.2
Embracing the past New Melle erects a statue that honors its settlers.,17.35,11.2
CRIME & JUSTICE,17.35,7.2
Powell reassures Mexico on immigration changes,18.3,14.2
NATION IN BRIEF,18.3,4.2
LETTING IN ALIEN POOR DOOMED AMERICA,19.4,10.2
INS raid of complex brings in 74 illegal aliens Crime rate spurs authorities to act,19.35,7.2
"IMMIGRANTS SHAPE U.S., STUDY SAYS",19.35,11.2
"INS CHIEF CALLS FOR CHANGES MORE GUARDS, BRIGHTER LIGHTS ON THE MEXICAN BORDER COULD REDUCE ILLEGAL IMMIGRATION, SHE TELLS LAWYERS.",19.35,2.2
ANTI-IMMIGRATION ORGANIZATION TO LAUNCH FLORIDA BALLOT DRIVE,19.4,6.2
House panel takes look at first of reform proposals,18.3,5.2
Overhaul of overloaded asylum system sought,18.3,6.2
"Immigration Hurts City, New Yorkers Say in Poll",19.35,12.2
A corporate 'feeding frenzy'; Visas push is about helping companies rather than workers,19.35,1.2
MANY EXPECT NEW INFLUX OF REFUGEES,19.35,2.2
ST. THOMAS SPEAKS OUT; SCHOOL SAYS MISSING CUBAN BASEBALL PLAYER SHOULD RETURN TO TEAM,,
FEDS ARE MISUING IMMIGRATION LAWS,17.4,5.2
POLICE BLOTTER,,7.2
READER RESPONSES: LATINO WORKERS; Immigrants being exploited,17.35,1.2
GROUP RAILS VS. IMMIGS  ANOTHER BILLBOARD UNVEILED,19.4,2.2
ONE OF CONTINENT'S MOST POLLUTED RIVERS IS ROUTE INTO U.S. FOR ILLEGAL; IMMIGRANTS; MEXICAN NATIONALS FLOAT PAST BORDER PATROL AGENTS WHO WON'T ENTER WATER,17.35,9.2
"As August Recess Looms, Congress Finds High Gear",,5.2
Immigration is changing the nation's face,18.3,11.2
"30,000 voices, one message at Capitol; St. Paul march for immigration reform is the largest gathering at the Statehouse since a Sept. 11 memorial",17.4,12.2
"Contractors say pressure on to police their hiring A new state law requiring firms that get government contracts to verify workers' legal status puts them in a bind, an employer says.",18.3,6.2
Letters to the editor,19.4,1.2
Government in the Netherlands Thwarts Modern Pilgrim's Progress,,
ADVISER IN MEXICAN GOVERNMENT ASSAILS REAGAN IMMIGRATION PLAN,17.35,14.2
'We've Lost Control of Our Borders',19.4,6.2
YOKO DRIVER TO HIGHTAIL IT,19.35,7.2
METRO DIGEST NEWS FROM AROUND THE REGION,17.35,5.2
LAKE WORTH MOM GETS 38 YEARS FOR TODDLER'S MURDER,19.35,7.2
Build wall at border and repeal the tax cut,17.4,1.2
Immigration bill's foe says passage likely; But Sen. Sessions also said he did not see an accord with the House without changes.,18.3,13.2
Protesters condemn amnesty plan; OPPOSED TO BILL IN SENATE,19.4,12.2
LOCAL INS PAPERS ON HIGH-TECH HOLD,17.35,2.2
ACADEMY'S REPORT SAYS IMMIGRATION BENEFITS THE U.S.,17.35,1.2
GOV'S NOT DRIVING ALONE,17.35,5.2
Fiery debate in Greeley gives way to ICE Reactions are varied as the city prepares for anew office this fall.,19.35,7.2
Bloomberg Expands Translations In Agencies,17.35,2.2
"FAR FROM HOME, ALONE -- A special report.; Young Immigrants Find a Hard New Land",17.35,10.2
"U.S. Immigration to form 3 N.C. agent teams; Their job: Deport smugglers, criminal illegal immigrants",19.35,7.2
Huckabee Talks Tough on Immigration,,13.2
"REFUGEES SUSPECTED OF STAGED 'LANDINGS' / OFFICIALS SAY THAT MANY PAY SMUGGLERS FOR THEIR PASSAGE FROM CUBA. LATER, THEY FAKE AN ARRIVAL.",19.35,7.2
,19.35,13.2
Speaking Up for Immigrants,17.4,11.2
Excerpt From Address on Immigration,,
Immigration Center Reopens After Uprising,,
Looking for a winning card Immigrants vie for permanent visa,17.35,2.2
"THOUSANDS ARRIVE FROM MEXICO, HONDURAS AND GUATEMALA. CHURCHES TRY TO KEEP UP WITH THE INFLUX. / IN N.C., LATINO IMMIGRANTS REMAKE CATHOLIC PARISH",17.35,3.2
Panel to Urge Immigration Reforms Weighted Toward Families,,2.2
CATHOLIC PRIESTS FROM ACROSS THE GLOBE TO MEET IN TAMPA,,
Budget ax hits immigrants Colo. proposal would cut Medicaid care to noncitizens,17.35,9.2
Panel passes bill to curtail use of foreign ID,18.3,6.2
SICK GIRL'S MOTHER ON BRINK OF BEING DEPORTED GETS STAY,17.35,5.2
Pro-government gunmen terrorize Ivorian migrants,,
Disorder On The Border,17.35,13.2
Anarchy is legalized racial profiling Immigration o A critical restraint on government is protection from unreasonable searches and seizures.,,5.2
BOTH SIDES TO RALLY ON IMMIGRATION ISSUE,18.3,12.2
Canadians note increase in refugees from U.S.,,
Free clinic deciphers new INS regulations; SOME HAVE TO REGISTER WITH AGENCY,17.35,5.2
Arizona sheriff's immigration patrol is handed court defeat,17.35,5.2
GO AFTER ILLEGAL IMMIGRANTS' EMPLOYERS,19.4,6.2
Immigrants Question Idea of Assimilation,18.3,11.2
Caring for Immigrants,,10.2
"Illegal immigrant population in U.S. drops, report says",18.3,11.2
AROUND THE NATION; Judge Denies a Motion To Stay Haitians' Parole,19.35,5.2
We all share the American dream,17.35,11.2
"Think Utah, not Arizona",18.3,13.2
AROUND THE NATION; Decline Is Suspected In Illegal Immigration,19.35,7.2
The Nation in Summary; Freedom Delayed For Haitians,17.35,5.2
"San Jose: ICE supervisors, not agents will meet with community activists",18.3,7.2
"In L.A., a Pol for a Polyglot City",17.35,11.2
"Bay Area immigration records, destined for dustbin, will be released Tuesday",18.3,11.2
Cop killings merit the extra attention,19.35,6.2
Land without crime - but at what price?,,
"Bosses in middle of immigration law Some employers feel the heat from a crackdown last week, but also fear suits from fired workers.",19.35,5.2
"Amerasians: Caught between cultures // Encouraged to come here, embittered by problems",19.35,11.2
,,
Nutjobs add sinister side to debate,19.4,12.2
Nightmare of Torture in Ethiopia Is Relived in an Atlanta Court,18.3,5.2
,19.35,7.2
Anti-Immigrant Group Active on East End,19.35,13.2
"Tri-Valley University called 'sham,' accused of immigration fraud",19.35,7.2
10 Accused of scheme to smuggle foreigners,,7.2
GEORGIA IN BRIEF Albany police seize $ 1 million in suspected drug money,,
"Gwinnett Opinions: VOICE OF GWINNETT; Immigration, health care top priorities",,
Demos seize immigrant issue after Bush abandons effort,18.3,13.2
No Place Like Home,18.3,11.2
Immigrants sue to speed citizenship; Residents tired of long delays in background checks turn to courts to remove barriers,17.35,5.2
Smuggling probe suspect pleads guilty to immigration violations,19.35,7.2
Immigrant detention numbers hold up,17.35,7.2
Metro week in review,19.35,7.2
Washington: Border Guards Will Cease Acting as Interpreters,17.35,8.2
National Briefing  Southwest: Texas: New Trial Ordered In Smuggling Case,19.35,5.2
CLINTON HITS AGAIN AT ILLEGAL WORKERS EMPLOYERS FACE BAR FROM U.S. CONTRACTS,19.35,7.2
National Briefing  South: Florida: Immigrant Hid In Jet's Wheel Well,18.3,8.2
DON'T FALL FOR 'OPINION POLL' ON ILLEGAL ALIENS,18.3,12.2
STUDENT MOVED BY INJUSTICE TO LEND A HAND,17.35,4.2
"Demanding Parole, Immigrants Held in Queens Stage Protest",17.4,5.2
"Economy won't falter or flourish because of immigration reform, study finds",18.3,1.2
Funds Sought To Continue Restoration At Ellis Island,17.35,1.2
"Slavery persists, Senate is told; Panel addresses trafficking in U.S.",,
The 'Mad Russian' wins fight to stay,17.35,5.2
THE NATION; Reagan Rejects Duarte's Request,19.35,14.2
ILLEGAL ALIENS LEARN 'CAVEAT EMPTOR',17.35,5.2
"DEATH CATCHES UP WITH MANY ILLEGAL IMMIGRANTS BEFORE THE LAW CAN; EXTREME TEMPERATURES, FATIGUE TAKE A TOLL",17.35,9.2
Dominicans May Allow Voting Abroad,,
"TIJUANA JOURNAL; GREEN CARD IN HAND, THEY CAN ENJOY 2 WORLDS",17.35,5.2
AU PAIRS' EMPLOYERS RUN AFOUL OF ALIENS LAW,17.35,5.2
Michigan: No Id's For Illegal Immigrants,19.35,6.2
STUDY SHOWS MOST IMMIGRANTS ADOPT AN AMERICAN DIET - THEN PACK ON THE POUNDS,19.35,9.2
CRIME & JUSTICE,19.35,7.2
Egypt Regains Old Treasures,,
Missouri: Group Membership Prompts a Resignation,19.35,13.2
Approach immigration issue with creativity,17.4,6.2
Immigrant Workers And Bernard Kerik,17.4,1.2
The cost of citizenship will increase on Friday,17.35,2.2
"Immigrants, Woven Into America",19.4,8.2
Immigration Crackdown,17.4,4.2
Around the South Florida's frustration over immigration,19.4,1.2
Make English the official language? How about just learning to use it correctly?,17.4,11.2
"For Bush, any immigration pact with Mexico is only half the battle; American and Mexican presidents may make agreement, but Congress controls changes in laws",17.35,14.2
Vast Negligence Reported In Granting of Citizenship,19.35,5.2
NEWFOUND FRIENDS ASSIST CHINESE IMMIGRANTS AFTER DRUNKEN DRIVER TORE THEIR FAMILY APART,,
District weighs policy for immigrant students,18.3,6.2
"First Through Gates of Ellis I., She Was Lost. Now She's Found.",18.3,11.2
Immigrant Obi Sium to challenge McCollum; GOP-endorsed House candidate poised to beat fugitive,,13.2
RISING RIO GRANDE STEMS ALIEN TIDE,18.3,9.2
At center stage: immigration; Issue stirs controversy early in session,18.3,6.2
WAR ON TERRORISM: Yemeni passenger claims racial profiling at Hartsfield ; GSU student detained under new U.S. policy,17.35,4.2
OWS groups in protest of prisons-for-profit,17.4,12.2
Minnesota / Immigration roundup targets gangs,19.35,7.2
"REUNION WILL BEGIN ELIAN'S HEALING, EXPERTS PREDICT",17.35,9.2
EIGHT CHINESE PERFORMERS MAY WANT POLITICAL ASYLUM,18.3,5.2
SENATE PANEL TO HOLD MCNARY HEARING OCT. 3,,
' COYOTE' SLIPS YOU UNDER BORDER PATROL'S NOSE,19.35,8.2
U.S. OVERSEAS PERSONNEL TO BE COUNTED IN CENSUS,19.35,11.2
THE NEW MAFIA: CHINESE GANGS,19.35,7.2
Law Sowing Fear and Confusion at Welfare Offices,17.35,10.2
HOUSE OKS TOUGH IMMIGRATION CURBS,19.35,6.2
NEW PROGRAMS ARE WIDENING SCOPE OF BILINGUAL EDUCATION,17.35,11.2
"Abdel Elboukili Deportation hot on heels, Morocco native gives in",19.35,10.2
Opportunists discover America's birthright citizenship,19.35,5.2
"The Week Ahead Sept. 9-13, 2002",,
BUSINESS LEADERS OPPOSE CUT IN TOURIST VISA TERM,,
"REMEMBER 9/11: Q&A ON IMMIGRATION: Changes mean more agents, tougher rules",19.35,8.2
"REMEMBER 9/11: IMMIGRATION REFORM: Coming to America; Tighter rules spark debate, cloud prospects for future arrivals",19.35,8.2
Immigrants feel ticking of clock,17.35,6.2
Readers write,19.4,5.2
"THE BUDGET BATLE; Immigrants facing loss of benefits; Republicans say that with aid to U.S. citizens being cut, tax dollars shouldn't be spent on others living here. But immigrants say they pay taxes too.",17.35,1.2
IMMIGRATION DATA ON LINE,19.35,2.2
McCain: I never flip-flop,,
WESTERN EMPIRE,19.35,7.2
Immigrants get 'a better test' for U.S. citizenship,17.35,5.2
BAIRD ISSUE UNDERSCORES CHILD CARE CRISIS IN U.S.,,
"Post-election, new momentum for a path to citizenship",18.3,13.2
"Victim of racial epithets faces possible deportation Jailed Thursday, she plans to sue",19.35,7.2
"House leaders dubious about immigration bill; Accord possible only with Bush's full effort, they say",18.3,13.2
Green Card To Nowhere; What Good Is Legalizing Immigrants If We Don't Educate Them?,17.4,10.2
Immigration's Sideshow,18.3,6.2
COURT BACKS INS ON ELIAN AN APPEALS PANEL SAID THE AGENCY WAS JUSTIFIED IN DENYING AN ASYLUM HEARING. MIAMI RELATIVES WILL APPEAL.,19.35,5.2
"Elian Asylum Appeal Dismissed; INS Was Within Law in Not Considering Relative's Petitions, Court Rules",18.3,5.2
Man Seized At U.S. Capitol To Be Deported; No Charges Against Australian,19.35,7.2
COUNT ILLEGALS AND LEGALS ; Crist responsible on census. Rubio just the opposite.,17.35,13.2
4-Year-Old Girl Is Returned From Guatemala to Parents,17.35,10.2
SENATE AGREES TO CURB IMMIGRANT ASSISTANCE< THE MEASURE WOULD PROHIBIT PUBLIC AID TO< THOSE WHOSE SPONSORS CAN AFFORD TO SUPPORT THEM.,19.35,10.2
Immigration Rider Touches Nerve,17.35,13.2
Tensions grip Minnesota city; Views on illegal immigration divide community looking for answers,19.35,11.2
LEADER TURNS TO FAMILIAR PATTERN,,13.2
March takes on festive air Police described the immigration-rights group as `` fantastic.'',17.4,12.2
U.S. Considers Expanding FBI Database; Names of Noncrimimal Deportees and Student Visa Violators Would Be Added,19.35,7.2
U.S. PANEL CALLS FOR LIMITING AID TO ILLEGALS,19.35,1.2
Immigration issue defines California race / Wilson's tough stand winning over voters,19.35,13.2
"IMMIGRANTS POUR INTO GEORGIA, HEARTLAND STATES, STUDY FINDS",19.35,11.2
Democratic Gains Falter With Tighter Security in Central Europe,,
LUNGREN GIVES DETAILS OF PROP. 187 ENFORCEMENT,19.35,6.2
"ELECTION 2004: States address stem cells, gay marriage",19.35,6.2
Corrections,,
EXCERPTS FROM MURPHY'S DENIAL,,7.2
THE MAN BEHIND MARC RICH,17.35,11.2
4 ARE CONVICTED OF ENSLAVING MIGRANT WORKERS IN THE SOUTH,17.35,7.2
An Immigration Puzzle; Crises in Cuba and Haiti Resurrect Debate About Newcomers and Employment in U.S.,19.35,1.2
National and Washington news in brief,19.4,13.2
An Advance for American Free Speech,17.35,6.2
Mexican leader chastises Bush; U.S. immigration policy and the country's appetite for illegal drugs drew fire from Felipe Calderon.,18.3,14.2
Study: Illegal immigrants a burden; Report contrasts federal taxes paid to services used,19.4,1.2
"Bush chided for not focusing on Mexico; Calderon polite but firm about immigration, barriers",19.35,14.2
Illegal Immigrants' Cost To Government Studied,19.35,1.2
"EDITORIAL No justification for Weld tax raid Illegal immigration and identity theft are indeed major issues, but that doesn't excuse an unconstitutional raid by deputies.",18.3,5.2
IT'S A NET LOSS IN VISA LOTTERY,18.3,2.2
"School Watch; Exchange student enrolls, but troubles may continue",18.3,10.2
NEW JERSEY DAILY BRIEFING; Rubber-Hose Factory Raided,,
Undocumented immigrants live lives in the shadows,17.4,3.2
Chinese Man's Release Ends A 5-Year Tale of Misfortune,17.35,7.2
BORDER PATROL SWEARS IN 49 AGENTS,19.35,8.2
It's the President's Turn,18.3,13.2
The Economy | Closing borders would be a shame,,13.2
Issue Vs. Expertise In Race For Board; Immigration Stand Hovering Over Pr. William Ballot,18.3,13.2
Legal status of tenants shielded,17.35,5.2
"Immigration Rally's Low Turnout Disappoints Advocates; Fear of Blacklash, Mixed Messages, Timing Are Cited",19.35,12.2
National Briefing  Southwest: Texas: Did You See That Elephant Cross The Border?,19.35,13.2
A Guilty Plea's Fallout; Va. Woman's Theft May Lead to Deportation,19.35,7.2
IMMIGRANT FORUM BRIDGES LONG-STANDING GAPS,17.35,11.2
National Briefing  New England: Maine: Limit To Questions On Citizenship,17.35,6.2
Deadline may be extended for visas,17.35,6.2
Complexities of Visas,17.4,2.2
THE MASTERS 2002: The world is watching,,
"RITUALS; Slap-Shot Sundays, By Way of the Web",17.4,11.2
"Extortion of D.C. Vendors Nets $50,000 -- and Prison; Immigrants Were Made to Pay for Sidewalk Spots",17.35,7.2
FLIGHT FROM CUBA: AT THE WHITE HOUSE; Castro vs. Clinton,17.35,14.2
Corrections,,
"The Reign of 'Sheriff Joe'; In Arizona, the perils of driving while brown",17.35,4.2
"Would-be immigrants bilked in Pa. asylum-fraud scheme, feds say",19.35,7.2
SHARE IMMIGRATION COST,18.3,1.2
Boom barely reaches some working poor,17.35,10.2
"!Bienvenidos!; As more Hispanic immigrants move into metro Atlanta, mortgage lenders welcome their business",,1.2
Letters to the editor,17.4,3.2
BRIEFINGS: IMMIGRATION; NUMBERS SURGE,,
National Briefing West: California: City Won't Aid Immigration Officials,17.35,7.2
DIGEST - NATION,,
Metro area grows to 3 million; ARC seeking ways to manage future,17.35,2.2
Giving immigrants the boot,17.4,13.2
"Chinese Smuggling Grows, Forcing U.S. Reassessment",19.35,7.2
Don't Come to America Looking for a Handout,19.4,10.2
SCAM WARNING ON GREEN CARDS,17.35,7.2
"GROWING HISPANIC POPULATION PRESENTS CHALLENGE FOR SMALL-TOWN FORCE; JOBS AT HOG-PROCESSING PLANT DRAWS IMMIGRANTS TO BEARDSTOWN, ILL.",18.3,1.2
"INSIDE THE TIMES: November 2, 2008",,
Immigration Rules and Fairness,18.3,5.2
Surprising Immigration Crackdown Advances,17.35,6.2
U.S. to Stop Green Card Denials for Dissidents,17.35,6.2
"U.S., Cuba to hold migration talks next week",17.35,14.2
A self-defeating immigrant policy,19.35,6.2
U.S. PLANS BORDER DITCH AGAINST DRUGS FROM MEXICO,19.4,8.2
Is immigration reform in the cards?,18.3,10.2
Newcomer Schools Raise Old Questions,17.35,6.2
Text of Statements by Clinton and Wood,,13.2
Judge's Hiring of Illegal Alien in 80's Did Not Violate Immigration Law,19.35,5.2
